IMDB ID,Title,Budget,Revenue,Year
tt0388980,The Greatest Game Ever Played,"$25,000,000.00 ","$15,431,177.00 ",2005
tt0396652,Ice Princess,"$25,000,000.00 ","$27,645,491.00 ",2005
tt0388500,Beauty Shop,"$25,000,000.00 ","$36,351,350.00 ",2005
tt0403508,The Sisterhood of the Traveling Pants,"$25,000,000.00 ","$39,053,061.00 ",2005
tt0387131,The Constant Gardener,"$25,000,000.00 ","$82,466,670.00 ",2005
tt0396752,Nanny McPhee,"$25,000,000.00 ","$122,489,822.00 ",2005
tt0382077,Hide and Seek,"$25,000,000.00 ","$122,644,820.00 ",2005
tt0421239,Red Eye,"$26,000,000.00 ","$57,891,803.00 ",2005
tt0405422,The 40 Year Old Virgin,"$26,000,000.00 ","$109,449,237.00 ",2005
tt0414387,Pride & Prejudice,"$28,000,000.00 ","$121,147,947.00 ",2005
tt0358273,Walk the Line,"$28,000,000.00 ","$186,438,883.00 ",2005
tt0366627,The Jacket,"$29,000,000.00 ","$21,126,225.00 ",2005
tt0449086,Dominion: Prequel to the Exorcist,"$30,000,000.00 ","$251,495.00 ",2005
tt0402901,The Cave,"$30,000,000.00 ","$15,007,991.00 ",2005
tt0350261,An Unfinished Life,"$30,000,000.00 ","$18,618,284.00 ",2005
tt0382628,Dark Water,"$30,000,000.00 ","$25,473,093.00 ",2005
tt0380389,Goal!: The Dream Begins,"$30,000,000.00 ","$27,610,873.00 ",2005
tt0402399,The New World,"$30,000,000.00 ","$30,536,013.00 ",2005
tt0408524,Bad News Bears,"$30,000,000.00 ","$34,252,847.00 ",2005
tt0398712,Assault on Precinct 13,"$30,000,000.00 ","$35,294,470.00 ",2005
tt0391304,A Lot Like Love,"$30,000,000.00 ","$42,886,719.00 ",2005
tt0332047,Fever Pitch,"$30,000,000.00 ","$50,451,307.00 ",2005
tt0417001,Must Love Dogs,"$30,000,000.00 ","$58,405,313.00 ",2005
tt0393162,Coach Carter,"$30,000,000.00 ","$76,669,806.00 ",2005
tt0376105,Racing Stripes,"$30,000,000.00 ","$93,772,522.00 ",2005
tt0312004,The Curse of the Were-Rabbit,"$30,000,000.00 ","$192,452,832.00 ",2005
tt0399146,A History of Violence,"$32,000,000.00 ","$60,740,827.00 ",2005
tt0388482,Transporter 2,"$32,000,000.00 ","$85,167,639.00 ",2005
tt0368578,Are We There Yet?,"$32,000,000.00 ","$97,918,663.00 ",2005
tt0257516,Cursed,"$35,000,000.00 ","$19,294,901.00 ",2005
tt0361089,Valiant,"$35,000,000.00 ","$19,478,106.00 ",2005
tt0395972,North Country,"$35,000,000.00 ","$25,224,242.00 ",2005
tt0417217,Two for the Money,"$35,000,000.00 ","$30,526,509.00 ",2005
tt0372237,Guess Who,"$35,000,000.00 ","$68,915,888.00 ",2005
tt0405325,Sky High,"$35,000,000.00 ","$86,369,815.00 ",2005
tt0379786,Serenity,"$39,000,000.00 ","$38,869,464.00 ",2005
tt0294870,Rent,"$40,000,000.00 ","$31,670,620.00 ",2005
tt0430308,Get Rich or Die Tryin',"$40,000,000.00 ","$46,442,528.00 ",2005
tt0397065,House of Wax,"$40,000,000.00 ","$68,766,121.00 ",2005
tt0121164,Corpse Bride,"$40,000,000.00 ","$117,195,061.00 ",2005
tt0401792,Sin City,"$40,000,000.00 ","$158,733,820.00 ",2005
tt0396269,Wedding Crashers,"$40,000,000.00 ","$285,176,741.00 ",2005
tt0399295,Lord of War,"$42,000,000.00 ","$24,127,895.00 ",2005
tt0357277,Elektra,"$43,000,000.00 ","$56,681,566.00 ",2005
tt0397101,The Skeleton Key,"$43,000,000.00 ","$91,974,818.00 ",2005
tt0369735,Monster-in-Law,"$43,000,000.00 ","$154,749,918.00 ",2005
tt0376108,Rebound,"$45,000,000.00 ","$16,809,014.00 ",2005
tt0395251,The Producers,"$45,000,000.00 ","$38,058,335.00 ",2005
tt0342258,Unleashed,"$45,000,000.00 ","$50,871,113.00 ",2005
tt0384642,Kicking & Screaming,"$45,000,000.00 ","$56,070,433.00 ",2005
tt0443295,"Yours, Mine & Ours","$45,000,000.00 ","$72,028,752.00 ",2005
tt0430105,Four Brothers,"$45,000,000.00 ","$92,374,674.00 ",2005
tt0371257,Stay,"$50,000,000.00 ","$8,342,132.00 ",2005
tt0421054,Domino,"$50,000,000.00 ","$22,944,502.00 ",2005
tt0380599,Oliver Twist,"$50,000,000.00 ","$42,093,706.00 ",2005
tt0378109,Into the Blue,"$50,000,000.00 ","$44,434,439.00 ",2005
tt0400497,Herbie Fully Loaded,"$50,000,000.00 ","$66,002,004.00 ",2005
tt0424774,The Adventures of Sharkboy and Lavagirl,"$50,000,000.00 ","$69,425,966.00 ",2005
tt0365737,Syriana,"$50,000,000.00 ","$94,000,000.00 ",2005
tt0371724,The Hitchhiker's Guide to the Galaxy,"$50,000,000.00 ","$104,478,416.00 ",2005
tt0377818,The Dukes of Hazzard,"$50,000,000.00 ","$110,803,676.00 ",2005
tt0377109,The Ring Two,"$50,000,000.00 ","$161,451,538.00 ",2005
tt0340163,Hostage,"$52,000,000.00 ","$77,944,725.00 ",2005
tt0377471,Be Cool,"$53,000,000.00 ","$95,226,116.00 ",2005
tt0408790,Flightplan,"$55,000,000.00 ","$223,387,299.00 ",2005
tt0395699,The Pacifier,"$56,000,000.00 ","$113,006,880.00 ",2005
tt0368709,Elizabethtown,"$57,000,000.00 ","$52,034,889.00 ",2005
tt0425123,Just Like Heaven,"$58,000,000.00 ","$102,854,431.00 ",2005
tt0419706,Doom,"$60,000,000.00 ","$55,987,321.00 ",2005
tt0329774,xXx: State of the Union,"$60,000,000.00 ","$71,073,932.00 ",2005
tt0452598,Cheaper by the Dozen 2,"$60,000,000.00 ","$129,181,830.00 ",2005
tt0402022,Æon Flux,"$62,000,000.00 ","$52,304,001.00 ",2005
tt0406375,Zathura: A Space Adventure,"$65,000,000.00 ","$64,321,501.00 ",2005
tt0398375,Rumor Has It...,"$70,000,000.00 ","$88,933,562.00 ",2005
tt0408306,Munich,"$70,000,000.00 ","$130,358,911.00 ",2005
tt0386588,Hitch,"$70,000,000.00 ","$368,100,420.00 ",2005
tt0418763,Jarhead,"$72,000,000.00 ","$96,889,998.00 ",2005
tt0386140,The Legend of Zorro,"$75,000,000.00 ","$142,400,065.00 ",2005
tt0358082,Robots,"$75,000,000.00 ","$260,696,994.00 ",2005
tt0351283,Madagascar,"$75,000,000.00 ","$532,680,671.00 ",2005
tt0318081,A Sound of Thunder,"$80,000,000.00 ","$5,989,640.00 ",2005
