Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
Idiocracy,2006,6.5,"185,605","Adventure, Comedy, Sci-Fi","$444,093",tt0387808
Ultraviolet,2006,4.3,"84,312","Action, Sci-Fi","$18,535,812",tt0370032
Take the Lead,2006,6.6,"26,719","Drama, Music","$34,742,066",tt0446046
Miss Potter,2006,7.0,"32,210","Biography, Drama, Romance","$3,005,605",tt0482546
Gridiron Gang,2006,7.1,"81,212","Biography, Crime, Drama","$38,432,823",tt0421206
Stranger Than Fiction,2006,7.5,"237,040","Comedy, Drama, Fantasy","$40,660,952",tt0420223
Tristan + Isolde,2006,6.8,"54,367","Action, Drama, Romance","$14,734,633",tt0375154
The Good German,2006,6.0,"26,127","Drama, Mystery, Romance","$1,308,696",tt0452624
Nacho Libre,2006,5.9,"94,601","Comedy, Family, Sport","$80,197,993",tt0457510
Snakes on a Plane,2006,5.5,"145,010","Action, Adventure, Crime","$34,020,814",tt0417148
Bandidas,2006,5.7,"37,405","Action, Comedy, Crime",N/A,tt0416496
Zoom,2006,4.4,"22,929","Action, Adventure, Comedy","$11,989,328",tt0383060
The Fountain,2006,7.2,"249,684","Drama, Mystery, Romance","$10,144,010",tt0414993
A Good Year,2006,6.9,"101,783","Comedy, Drama, Romance","$7,459,300",tt0401445
The Devil Wears Prada,2006,6.9,"475,923","Comedy, Drama","$124,740,460",tt0458352
Freedomland,2006,5.2,"17,265","Crime, Drama, Mystery","$12,512,886",tt0349467
Pulse,2006,4.7,"30,796","Horror, Sci-Fi, Thriller","$20,264,436",tt0454919
Stormbreaker,2006,5.1,"25,692","Action, Adventure, Family","$677,646",tt0457495
The Wicker Man,2006,3.8,"71,724","Horror, Mystery, Thriller","$23,649,127",tt0450345
Marie Antoinette,2006,6.5,"122,856","Biography, Drama, History","$15,962,471",tt0422720
The Illusionist,2006,7.5,"391,249","Drama, Fantasy, Mystery","$39,868,642",tt0443543
The Prestige,2006,8.5,"1,451,983","Drama, Mystery, Sci-Fi","$53,089,891",tt0482571
The Lake House,2006,6.8,"158,498","Drama, Fantasy, Romance","$52,330,111",tt0410297
Apocalypto,2006,7.8,"333,383","Action, Adventure, Drama","$50,866,635",tt0472043
Eight Below,2006,7.3,"68,668","Adventure, Drama, Family","$81,612,565",tt0397313
Big Momma's House 2,2006,4.8,"46,767","Comedy, Crime","$70,165,972",tt0421729
Last Holiday,2006,6.6,"36,441","Comedy, Drama, Romance","$38,399,961",tt0408985
Firewall,2006,5.8,"59,747","Action, Crime, Thriller","$48,751,189",tt0408345
Scary Movie 4,2006,5.1,"129,702",Comedy,"$90,710,620",tt0362120
Inside Man,2006,7.6,"400,797","Crime, Drama, Mystery","$88,513,495",tt0454848
Happily N'Ever After,2006,4.5,"11,186","Animation, Adventure, Comedy","$15,589,393",tt0308353
Goya's Ghosts,2006,6.9,"31,778","Biography, Drama, History","$1,000,626",tt0455957
The Black Dahlia,2006,5.6,"77,157","Crime, Drama, Mystery","$22,545,080",tt0387877
The Ant Bully,2006,5.8,"42,012","Animation, Adventure, Comedy","$28,142,535",tt0429589
The Shaggy Dog,2006,4.4,"20,244","Comedy, Family, Fantasy","$61,123,569",tt0393735
Curious George,2006,6.5,"18,256","Animation, Adventure, Comedy","$58,360,760",tt0381971
RV,2006,5.6,"64,010","Adventure, Comedy, Family","$71,726,025",tt0449089
Silent Hill,2006,6.5,"245,341","Horror, Mystery","$46,982,632",tt0384537
Underworld: Evolution,2006,6.7,"210,146","Action, Fantasy, Thriller","$62,318,875",tt0401855
Failure to Launch,2006,5.6,"86,301","Comedy, Romance","$88,715,192",tt0427229
Perfume: The Story of a Murderer,2006,7.5,"266,852","Crime, Drama, Fantasy","$2,223,293",tt0396171
Barnyard,2006,5.6,"34,791","Animation, Adventure, Comedy","$72,637,803",tt0414853
The Break-Up,2006,5.8,"139,405","Comedy, Drama, Romance","$118,703,275",tt0452594
"You, Me and Dupree",2006,5.6,"84,393","Comedy, Romance","$75,628,110",tt0463034
V for Vendetta,2005,8.1,"1,186,319","Action, Drama, Sci-Fi","$70,511,035",tt0434409
All the King's Men,2006,6.1,"25,680","Drama, Thriller","$7,221,458",tt0405676
16 Blocks,2006,6.6,"135,131","Action, Drama, Thriller","$36,895,141",tt0450232
The Pursuit of Happyness,2006,8.0,"566,475","Biography, Drama","$163,566,459",tt0454921
Flyboys,2006,6.5,"44,681","Action, Drama, History","$13,090,630",tt0454824
The Sentinel,2006,6.1,"52,502","Action, Crime, Thriller","$36,280,697",tt0443632
World Trade Center,2006,6.0,"88,080","Drama, History, Thriller","$70,278,893",tt0469641
Little Man,2006,4.5,"60,214","Comedy, Crime","$58,645,052",tt0430304
We Are Marshall,2006,7.0,"64,986","Drama, Sport","$43,545,364",tt0758794
300,2006,7.6,"869,663","Action, Drama","$210,629,101",tt0416449
Basic Instinct 2,2006,4.4,"41,757","Drama, Mystery, Thriller","$5,971,336",tt0430912
The Guardian,2006,6.9,"98,613","Action, Adventure, Drama","$55,011,732",tt0406816
Dreamgirls,2006,6.6,"77,540","Drama, Music, Musical","$103,365,956",tt0443489
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,"201,279","Comedy, Sport","$148,213,377",tt0415306
Lady in the Water,2006,5.5,"104,160","Drama, Fantasy, Mystery","$42,285,169",tt0452637
Monster House,2006,6.7,"139,596","Animation, Comedy, Family","$73,661,010",tt0385880
Deja Vu,2006,7.1,"328,745","Action, Crime, Sci-Fi","$64,038,616",tt0453467
Children of Men,2006,7.9,"532,525","Action, Drama, Sci-Fi","$35,552,383",tt0206634
The Wild,2006,5.2,"27,793","Animation, Adventure, Comedy","$37,384,046",tt0405469
Over the Hedge,2006,6.7,"190,901","Animation, Adventure, Comedy","$155,019,340",tt0327084
Ice Age: The Meltdown,2006,6.8,"299,002","Animation, Adventure, Comedy","$195,330,621",tt0438097
Click,2006,6.4,"359,003","Comedy, Drama, Fantasy","$137,355,633",tt0389860
The Good Shepherd,2006,6.7,"108,838","Drama, History, Thriller","$59,952,835",tt0343737
Charlotte's Web,2006,6.3,"46,841","Adventure, Comedy, Family","$82,985,708",tt0413895
The Fast and the Furious: Tokyo Drift,2006,6.0,"302,488","Action, Crime, Thriller","$62,514,415",tt0463985
The Holiday,2006,6.9,"325,426","Comedy, Romance","$63,224,849",tt0457939
Open Season,2006,6.1,"106,615","Animation, Adventure, Comedy","$85,105,259",tt0400717
Arthur and the Invisibles,2006,6.0,"41,243","Animation, Adventure, Comedy","$15,132,763",tt0344854
Flags of Our Fathers,2006,7.1,"129,672","Action, Adventure, Drama","$33,602,376",tt0418689
The Departed,2006,8.5,"1,433,399","Crime, Drama, Thriller","$132,399,394",tt0407887
Blood Diamond,2006,8.0,"588,623","Adventure, Drama, Thriller","$57,377,916",tt0450259
Eragon,2006,5.1,"130,751","Action, Adventure, Family","$75,030,163",tt0449010
Happy Feet,2006,6.4,"201,547","Animation, Adventure, Comedy","$198,000,317",tt0366548
Night at the Museum,2006,6.5,"380,755","Adventure, Comedy, Family","$250,863,268",tt0477347
Cars,2006,7.2,"475,805","Animation, Adventure, Comedy","$244,082,982",tt0317219
The Da Vinci Code,2006,6.6,"460,822","Mystery, Thriller","$217,536,138",tt0382625
Miami Vice,2006,6.1,"124,713","Action, Crime, Drama","$63,450,470",tt0430357
Flushed Away,2006,6.6,"139,851","Animation, Action, Adventure","$64,665,672",tt0424095
Mission: Impossible III,2006,6.9,"393,256","Action, Adventure, Thriller","$134,029,801",tt0317919
Casino Royale,2006,8.0,"698,957","Action, Adventure, Thriller","$167,445,960",tt0381061
Poseidon,2006,5.7,"110,804","Action, Adventure, Thriller","$60,674,817",tt0409182
Pirates of the Caribbean: Dead Man's Chest,2006,7.4,"773,172","Action, Adventure, Fantasy","$423,315,812",tt0383574
X-Men: The Last Stand,2006,6.6,"544,735","Action, Adventure, Sci-Fi","$234,362,462",tt0376994
Superman Returns,2006,6.1,"291,969","Action, Adventure, Sci-Fi","$200,081,192",tt0348150
Paranormal Activity,2007,6.3,"257,875","Horror, Mystery","$107,918,810",tt1179904
The Signal,2007,6.0,"21,929","Horror, Sci-Fi, Thriller","$251,150",tt0780607
Once,2007,7.8,"121,728","Drama, Music, Romance","$9,439,923",tt0907657
Happy Days,2007,7.9,"6,202",Drama,N/A,tt1214961
Boy Culture,2006,6.8,"5,960","Drama, Romance","$220,409",tt0433350
The Tracey Fragments,2007,6.0,"7,669",Drama,"$32,645",tt0801526
"4 Months, 3 Weeks and 2 Days",2007,7.9,"63,488",Drama,"$1,198,208",tt1032846
Taxi to the Dark Side,2007,7.5,"16,851","Documentary, Crime, History","$274,661",tt0854678
I'm Staying,2007,7.4,937,"Comedy, Drama, Fantasy",N/A,tt1046198
Lieksa!,2007,5.5,779,"Comedy, Drama",N/A,tt0944114
My Name Is Bruce,2007,6.1,"25,183","Comedy, Fantasy, Horror","$173,066",tt0489235
REC,2007,7.4,"198,806","Horror, Mystery, Thriller",N/A,tt1038988
No End in Sight,2007,8.2,"8,606","Documentary, War","$1,433,319",tt0912593
Diary of the Dead,2007,5.5,"49,373","Fantasy, Horror, Sci-Fi","$958,961",tt0848557
Waitress,2007,7.0,"48,996","Comedy, Drama, Romance","$19,074,800",tt0473308
Jab We Met,2007,7.9,"59,317","Comedy, Drama, Romance",N/A,tt1093370
Eye of the Dolphin,2006,5.6,"1,016","Comedy, Drama, Family","$72,210",tt0465407
Gloss,2007,5.5,"1,126","Comedy, Drama",N/A,tt0907119
Timecrimes,2007,7.1,"69,338","Horror, Mystery, Sci-Fi","$39,127",tt0480669
Like Stars on Earth,2007,8.3,"207,890","Drama, Family","$1,223,869",tt0986264
Night of the Living Dead 3D,2006,3.1,"3,896",Horror,"$271,000",tt0489244
Mother of Tears,2007,5.0,"11,206","Drama, Horror, Thriller","$58,669",tt0804507
Sukiyaki Western Django,2007,6.1,"15,881","Action, Western","$50,659",tt0906665
The Edge of Heaven,2007,7.7,"33,451",Drama,"$742,349",tt0880502
December Boys,2007,6.5,"12,419","Drama, Romance","$50,715",tt0465436
Nobel Son,2007,6.1,"6,152","Comedy, Crime, Drama","$540,382",tt0483756
Go Go Tales,2007,5.8,"1,528","Comedy, Drama",N/A,tt0393329
You Kill Me,2007,6.4,"19,015","Comedy, Crime, Romance","$2,429,367",tt0796375
Battle for Terra,2007,6.5,"12,232","Animation, Action, Adventure","$1,647,083",tt0858486
Son of Rambow,2007,7.0,"33,034","Action, Adventure, Comedy","$1,785,505",tt0845046
12,2007,7.6,"15,398","Crime, Drama, Thriller","$125,120",tt0488478
Guru,2007,7.7,"25,081",Drama,"$2,096,000",tt0499375
Meet Bill,2007,6.2,"21,051","Comedy, Drama","$62,597",tt0790623
Redacted,2007,6.1,"11,278","Crime, Thriller, War","$65,388",tt0937237
Antidur,2007,3.4,232,"Action, Comedy, Crime",N/A,tt1110037
Mio fratello è figlio unico,2007,7.0,"6,774","Comedy, Crime, Drama","$255,620",tt0846040
The Irony of Fate 2,2007,5.0,"3,829","Comedy, Romance",N/A,tt0987918
Katyn,2007,7.0,"17,376","Drama, History, War","$118,095",tt0879843
Korolyov,2007,5.0,97,"Biography, Drama",N/A,tt1107828
Revenge,2007,5.9,"1,075","Action, Crime, Drama",N/A,tt0459759
Daddy Day Camp,2007,3.2,"18,020","Comedy, Family","$13,235,267",tt0462244
Juno,2007,7.4,"550,939","Comedy, Drama","$143,495,265",tt0467406
Hallam Foe,2007,6.9,"13,177","Drama, Mystery, Romance","$60,641",tt0466816
Brooklyn Rules,2007,6.3,"5,992","Crime, Drama","$458,232",tt0283503
Battle in Seattle,2007,6.6,"15,209","Action, Drama, History","$224,169",tt0850253
P2,2007,5.9,"36,615","Crime, Horror, Thriller","$3,995,018",tt0804516
How About You,2007,6.6,"1,814","Comedy, Drama","$78,234",tt0887745
Gracie,2007,6.2,"4,334","Biography, Drama, Sport","$2,956,339",tt0441007
Sicko,2007,8.0,"76,929","Documentary, Drama","$24,540,079",tt0386032
Om Shanti Om,2007,6.8,"50,145","Action, Comedy, Drama","$3,597,372",tt1024943
In the Land of Women,2007,6.4,"32,718","Comedy, Drama, Romance","$11,052,958",tt0419843
Reno 911!: Miami,2007,5.9,"28,059","Comedy, Crime","$20,342,161",tt0499554
My Blueberry Nights,2007,6.6,"56,664","Drama, Romance","$867,275",tt0765120
The Hitcher,2007,5.6,"45,446","Crime, Thriller","$16,472,961",tt0455960
Daddy's Little Girls,2007,5.8,"8,339","Drama, Romance","$31,366,978",tt0778661
Run Fatboy Run,2007,6.5,"69,929","Comedy, Romance, Sport","$6,003,262",tt0425413
Saw IV,2007,5.9,"166,017","Horror, Mystery, Thriller","$63,300,095",tt0890870
Hostel: Part II,2007,5.5,"96,355",Horror,"$17,609,452",tt0498353
Shootout at Lokhandwala,2007,7.1,"10,937","Action, Crime, Drama","$289,232",tt0811066
I Think I Love My Wife,2007,5.5,"17,593","Comedy, Drama, Romance","$12,550,605",tt0770772
Whisper,2007,5.7,"10,089","Crime, Drama, Horror",N/A,tt0435528
I Know Who Killed Me,2007,3.6,"30,935","Horror, Mystery, Thriller","$7,498,716",tt0897361
Lars and the Real Girl,2007,7.3,"156,763","Comedy, Drama, Romance","$5,972,884",tt0805564
Sivaji,2007,7.5,"21,484","Action, Crime, Drama",N/A,tt0479751
Hot Fuzz,2007,7.8,"537,436","Action, Comedy, Mystery","$23,637,265",tt0425112
Stomp the Yard,2007,5.4,"26,515","Drama, Music, Romance","$61,356,221",tt0775539
The Diving Bell and the Butterfly,2007,8.0,"110,610","Biography, Drama","$6,003,227",tt0401383
The Good Night,2007,5.7,"8,772","Comedy, Drama, Fantasy","$22,441",tt0484111
Funny Games,2007,6.5,"104,325","Crime, Drama, Thriller","$1,294,919",tt0808279
U2,2007,8.4,"2,922","Documentary, Music","$10,363,341",tt0892375
The Great Debaters,2007,7.5,"63,149","Biography, Drama, Romance","$30,236,407",tt0427309
Why Did I Get Married?,2007,5.9,"13,993","Comedy, Drama, Romance","$55,204,525",tt0906108
Into the Wild,2007,8.1,"660,446","Adventure, Biography, Drama","$18,354,356",tt0758758
28 Weeks Later,2007,6.9,"296,270","Horror, Sci-Fi","$28,638,916",tt0463854
Halloween,2007,6.0,"131,027",Horror,"$58,272,029",tt0373883
Earth,2007,7.9,"14,752",Documentary,"$32,011,576",tt0393597
The Messengers,2007,5.3,"41,302","Drama, Horror, Mystery","$35,374,833",tt0425430
Things We Lost in the Fire,2007,7.1,"29,853",Drama,"$3,287,315",tt0469623
The Lookout,2007,7.0,"60,672","Crime, Drama, Thriller","$4,600,585",tt0427470
A Mighty Heart,2007,6.6,"28,254","Biography, Drama, History","$9,176,787",tt0829459
The Darjeeling Limited,2007,7.2,"217,967","Adventure, Comedy, Drama","$11,902,715",tt0838221
Assembly,2007,7.3,"7,354","Action, Biography, Drama",N/A,tt0881200
Sydney White,2007,6.2,"51,500","Comedy, Drama, Romance","$11,892,415",tt0815244
Becoming Jane,2007,7.0,"65,389","Biography, Drama, Romance","$18,670,946",tt0416508
Captivity,2007,4.6,"23,729","Crime, Horror, Mystery","$2,626,800",tt0374563
Before the Devil Knows You're Dead,2007,7.3,"112,247","Crime, Drama, Thriller","$7,084,227",tt0292963
Mongol: The Rise of Genghis Khan,2007,7.2,"49,349","Action, Biography, Drama","$5,705,761",tt0416044
The Mist,2007,7.1,"344,136","Horror, Sci-Fi, Thriller","$25,594,957",tt0884328
Gone Baby Gone,2007,7.6,"295,623","Crime, Drama, Mystery","$20,292,962",tt0452623
Vacancy,2007,6.2,"108,106","Horror, Thriller","$19,363,565",tt0452702
I'm Not There,2007,6.8,"61,350","Biography, Drama, Music","$4,017,609",tt0368794
Flawless,2007,6.7,"26,480","Crime, Drama, Thriller","$1,200,234",tt0780516
Death Defying Acts,2007,5.8,"10,524","Drama, History, Romance","$5,665",tt0472071
Code Name: The Cleaner,2007,4.6,"12,203","Action, Comedy, Crime","$8,135,024",tt0462229
Death Sentence,2007,6.7,"75,059","Action, Crime, Thriller","$9,534,258",tt0804461
Dead Silence,2007,6.1,"102,535","Horror, Mystery, Thriller","$16,809,076",tt0455760
Reign Over Me,2007,7.4,"99,788",Drama,"$19,661,987",tt0490204
Mr. Brooks,2007,7.3,"156,975","Crime, Drama, Mystery","$28,549,298",tt0780571
The Nanny Diaries,2007,6.2,"64,343","Comedy, Drama, Romance","$25,930,652",tt0489237
The Kite Runner,2007,7.6,"82,724",Drama,"$15,800,078",tt0419887
Premonition,2007,5.9,"81,930","Drama, Fantasy, Mystery","$47,852,604",tt0477071
Epic Movie,2007,2.4,"109,786","Adventure, Comedy, Fantasy","$39,739,367",tt0799949
Disturbia,2007,6.8,"256,373","Crime, Drama, Mystery","$80,209,692",tt0486822
Superbad,2007,7.6,"637,202",Comedy,"$121,463,226",tt0829482
Freedom Writers,2007,7.6,"85,830","Biography, Crime, Drama","$36,605,602",tt0463998
We Own the Night,2007,6.8,"93,476","Action, Crime, Drama","$28,563,179",tt0498399
Bobby Z,2007,5.8,"15,292","Action, Crime, Thriller",N/A,tt0473188
The Game Plan,2007,6.4,"100,687","Comedy, Family, Sport","$90,648,202",tt0492956
In the Valley of Elah,2007,7.2,"75,251","Crime, Drama, Mystery","$6,777,741",tt0478134
I Could Never Be Your Woman,2007,6.0,"19,544","Comedy, Drama, Romance",N/A,tt0466839
Hitman,2007,6.2,"178,432","Action, Crime, Thriller","$39,687,694",tt0465494
Death Proof,2007,7.0,"315,177","Action, Drama, Thriller",N/A,tt1028528
War,2007,6.2,"97,443","Action, Crime, Thriller","$22,486,409",tt0499556
Good Luck Chuck,2007,5.6,"94,940","Comedy, Romance","$35,017,297",tt0452625
August Rush,2007,7.4,"111,385","Drama, Music","$31,664,162",tt0426931
Dan in Real Life,2007,6.8,"107,331","Comedy, Drama, Romance","$47,642,963",tt0480242
There Will Be Blood,2007,8.2,"644,594",Drama,"$40,222,514",tt0469494
Michael Clayton,2007,7.2,"174,557","Crime, Drama, Mystery","$49,033,882",tt0465538
1408,2007,6.8,"295,664","Fantasy, Horror, Mystery","$71,985,628",tt0450385
No Country for Old Men,2007,8.2,"1,068,450","Crime, Drama, Thriller","$74,283,625",tt0477348
Mr. Bean's Holiday,2007,6.4,"134,612","Comedy, Family","$33,302,167",tt0453451
Rendition,2007,6.8,"58,334","Drama, Thriller","$9,736,045",tt0804522
No Reservations,2007,6.3,"79,246","Comedy, Drama, Romance","$43,107,979",tt0481141
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,"193,750","Biography, Crime, Drama","$3,909,149",tt0443680
88 Minutes,2007,5.9,"78,458","Crime, Drama, Mystery","$17,213,467",tt0411061
The Invisible,2007,6.1,"36,630","Crime, Drama, Fantasy","$20,578,909",tt0435670
30 Days of Night,2007,6.6,"190,074","Action, Horror, Thriller","$39,569,000",tt0389722
The Number 23,2007,6.4,"213,521","Crime, Mystery, Thriller","$35,193,167",tt0481369
Atonement,2007,7.8,"301,918","Drama, Mystery, Romance","$50,927,067",tt0783233
P.S. I Love You,2007,7.0,"218,905","Comedy, Drama, Romance","$53,706,790",tt0431308
Knocked Up,2007,6.9,"386,705","Comedy, Romance","$148,768,917",tt0478311
TMNT,2007,6.2,"69,630","Animation, Action, Adventure","$54,149,098",tt0453556
Walk Hard: The Dewey Cox Story,2007,6.8,"77,573","Comedy, Music","$18,317,151",tt0841046
Lions for Lambs,2007,6.2,"52,859","Crime, Drama, Mystery","$15,002,854",tt0891527
License to Wed,2007,5.3,"40,725","Comedy, Romance","$43,799,818",tt0762114
Virgin Territory,2007,4.7,"8,805","Adventure, Comedy, Romance",N/A,tt0437954
Shoot 'Em Up,2007,6.6,"155,504","Action, Comedy, Thriller","$12,807,139",tt0465602
Aliens vs. Predator: Requiem,2007,4.6,"133,801","Action, Horror, Sci-Fi","$41,797,066",tt0758730
The Reaping,2007,5.6,"44,760","Horror, Thriller","$25,126,214",tt0444682
The Water Horse,2007,6.4,"43,139","Adventure, Family, Fantasy","$40,946,255",tt0760329
Music and Lyrics,2007,6.5,"107,592","Comedy, Music, Romance","$50,572,589",tt0758766
Love in the Time of Cholera,2007,6.4,"24,191","Drama, Romance","$4,607,608",tt0484740
Pathfinder,2007,5.4,"46,376","Action, Adventure, Drama","$10,232,081",tt0446013
Resident Evil: Extinction,2007,6.2,"206,616","Action, Horror, Sci-Fi","$50,648,679",tt0432021
The Bucket List,2007,7.4,"261,143","Adventure, Comedy, Drama","$93,466,502",tt0825232
Sunshine,2007,7.2,"268,944","Sci-Fi, Thriller","$3,675,753",tt0448134
Hannibal Rising,2007,6.1,"116,361","Adventure, Crime, Drama","$27,670,986",tt0367959
Hairspray,2007,6.7,"139,246","Comedy, Drama, Musical","$118,946,291",tt0427327
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"387,921","Drama, Horror, Musical","$52,898,073",tt0408236
Eastern Promises,2007,7.6,"263,129","Crime, Drama, Thriller","$17,266,000",tt0765443
3:10 to Yuma,2007,7.6,"332,266","Action, Crime, Drama","$53,606,916",tt0381849
Elizabeth: The Golden Age,2007,6.8,"75,340","Biography, Drama, History","$16,383,509",tt0414055
Norbit,2007,4.2,"80,143","Comedy, Romance","$95,673,607",tt0477051
The Heartbreak Kid,2007,5.8,"96,862","Comedy, Romance","$36,787,257",tt0408839
Bridge to Terabithia,2007,7.2,"174,908","Drama, Family, Fantasy","$82,272,442",tt0398808
Alvin and the Chipmunks,2007,5.2,"95,835","Adventure, Comedy, Family","$217,326,974",tt0952640
Perfect Stranger,2007,5.7,"51,306","Crime, Mystery, Thriller","$23,984,949",tt0457433
Shooter,2007,7.1,"358,015","Action, Drama, Thriller","$47,003,582",tt0822854
Zodiac,2007,7.7,"604,700","Crime, Drama, Mystery","$33,080,084",tt0443706
The Last Legion,2007,5.4,"37,195","Action, Adventure, History","$5,933,494",tt0462396
Dragon Wars: D-War,2007,3.5,"25,427","Action, Drama, Fantasy","$10,977,721",tt0372873
The Brave One,2007,6.7,"63,753","Action, Crime, Drama","$36,793,804",tt0476964
Next,2007,6.2,"167,233","Action, Sci-Fi, Thriller","$18,211,013",tt0435705
The Kingdom,2007,7.0,"132,598","Action, Drama, Thriller","$47,536,778",tt0431197
Stardust,2007,7.6,"286,511","Adventure, Family, Fantasy","$38,634,938",tt0486655
Beowulf,2007,6.3,"174,599","Animation, Action, Adventure","$82,280,579",tt0442933
The Bourne Ultimatum,2007,8.0,"661,397","Action, Mystery, Thriller","$227,471,070",tt0440963
Charlie Wilson's War,2007,7.0,"125,312","Biography, Comedy, Drama","$66,661,095",tt0472062
The Simpsons Movie,2007,7.3,"351,232","Animation, Adventure, Comedy","$183,135,014",tt0462538
The Invasion,2007,5.9,"83,072","Sci-Fi, Thriller","$15,074,191",tt0427392
Surf's Up,2007,6.7,"91,714","Animation, Adventure, Comedy","$58,867,694",tt0423294
I Now Pronounce You Chuck & Larry,2007,5.9,"154,638","Comedy, Romance","$120,059,556",tt0762107
Ocean's Thirteen,2007,6.9,"369,347","Crime, Thriller","$117,154,724",tt0496806
Enchanted,2007,7.1,"218,217","Animation, Adventure, Comedy","$127,807,262",tt0461770
Awake,2007,6.5,"81,121","Crime, Drama, Mystery","$14,377,198",tt0211933
Fred Claus,2007,5.7,"47,922","Comedy, Family, Fantasy","$72,006,777",tt0486583
American Gangster,2007,7.8,"455,765","Biography, Crime, Drama","$130,164,645",tt0765429
Ghost Rider,2007,5.3,"253,850","Action, Fantasy, Thriller","$115,802,596",tt0259324
Live Free or Die Hard,2007,7.1,"422,270","Action, Thriller","$134,529,403",tt0337978
Fantastic Four: Rise of the Silver Surfer,2007,5.6,"278,579","Action, Adventure, Fantasy","$131,921,738",tt0486576
National Treasure: Book of Secrets,2007,6.5,"254,808","Action, Adventure, Mystery","$219,964,115",tt0465234
Rush Hour 3,2007,6.2,"184,653","Action, Comedy, Crime","$140,125,968",tt0293564
Meet the Robinsons,2007,6.8,"112,569","Animation, Adventure, Comedy","$97,822,171",tt0396555
Bee Movie,2007,6.1,"181,469","Animation, Adventure, Comedy","$126,631,277",tt0389790
I Am Legend,2007,7.2,"819,872","Action, Drama, Horror","$256,393,010",tt0480249
Ratatouille,2007,8.1,"834,765","Animation, Adventure, Comedy","$206,445,654",tt0382932
Transformers,2007,7.0,"679,541","Action, Adventure, Sci-Fi","$319,246,193",tt0418279
Harry Potter and the Order of the Phoenix,2007,7.5,"639,266","Action, Adventure, Family","$292,382,727",tt0373889
Shrek the Third,2007,6.1,"335,508","Animation, Adventure, Comedy","$322,719,944",tt0413267
Evan Almighty,2007,5.4,"155,720","Comedy, Family, Fantasy","$100,462,298",tt0413099
The Golden Compass,2007,6.1,"197,433","Adventure, Family, Fantasy","$70,107,728",tt0385752
Spider-Man 3,2007,6.3,"643,253","Action, Adventure, Sci-Fi","$337,281,992",tt0413300
Pirates of the Caribbean: At World's End,2007,7.1,"699,054","Action, Adventure, Fantasy","$309,420,425",tt0449088
Bronson,2008,7.0,"141,537","Action, Crime, Drama","$104,979",tt1172570
Plus One,2008,6.6,542,"Comedy, Romance",N/A,tt1224449
Recep Ivedik,2008,4.9,"28,549",Comedy,N/A,tt1193516
Fireproof,2008,6.4,"24,270","Drama, Romance","$33,456,317",tt1129423
Aanrijding in Moscou,2008,7.2,"4,295","Comedy, Drama, Romance",N/A,tt0948530
Phoonk,2008,4.0,"1,387","Drama, Horror, Mystery",N/A,tt1267500
A Wednesday,2008,8.1,"82,558","Action, Crime, Drama",N/A,tt1280558
Nirvana,2008,5.8,445,"Drama, Romance",N/A,tt1227165
Waltz with Bashir,2008,8.0,"60,645","Documentary, Animation, Biography","$2,283,849",tt1185616
Admiral,2008,6.7,"8,640","Biography, Drama, History",N/A,tt1101026
Jaane Tu... Ya Jaane Na,2008,7.4,"28,353","Comedy, Drama, Romance","$604,037",tt0473367
Bachna Ae Haseeno,2008,6.2,"12,594","Comedy, Drama, Romance","$702,166",tt1182972
Sleep Dealer,2008,6.0,"6,655","Drama, Romance, Sci-Fi","$80,136",tt0804529
Choke,2008,6.4,"33,703","Comedy, Drama","$2,926,565",tt1024715
Gitler kaput!,2008,3.0,"2,227","Action, Adventure, Comedy",N/A,tt1124396
Vaaranam Aayiram,2008,8.2,"14,304","Action, Drama, Musical",N/A,tt1180583
Lyubov 2 Morkov,2008,4.8,763,"Comedy, Fantasy",N/A,tt1414840
Tarif Novogodniy,2008,6.2,792,"Comedy, Fantasy, Romance",N/A,tt1373243
Surveillance,2008,6.3,"18,398","Crime, Drama, Mystery","$27,349",tt0409345
Justice League: The New Frontier,2008,7.0,"18,801","Animation, Action, Adventure, Fantasy, Sci-Fi",N/A,tt0902272
Expelled: No Intelligence Allowed,2008,3.7,"12,176",Documentary,"$7,720,487",tt1091617
Morphine,2008,7.2,"3,910",Drama,N/A,tt1186366
Winter in Wartime,2008,7.0,"13,507","Drama, History, War","$543,100",tt0795441
Let the Right One In,2008,7.8,"227,877","Drama, Fantasy, Horror","$2,122,065",tt1139797
Kismat Konnection,2008,5.3,"5,988","Comedy, Drama, Romance","$490,154",tt1105733
"War, Inc.",2008,5.5,"22,573","Action, Comedy, Thriller","$580,862",tt0884224
Bottle Shock,2008,6.8,"18,080","Comedy, Drama","$4,078,607",tt0914797
Sunshine Cleaning,2008,6.8,"74,332","Comedy, Drama","$12,062,558",tt0862846
Tutta la vita davanti,2008,6.9,"3,315","Comedy, Drama, Romance",N/A,tt1075114
"Surfer, Dude",2008,4.6,"9,162",Comedy,"$52,132",tt0976247
JCVD,2008,7.0,"40,413","Action, Comedy, Crime","$470,691",tt1130988
While She Was Out,2008,4.8,"7,232","Crime, Drama, Thriller",N/A,tt0887971
Julia,2008,7.0,"6,984","Crime, Drama, Thriller","$65,108",tt0903627
