Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
Deuce Bigalow: European Gigolo,2005,4.7,"53,561",Comedy,"$22,400,154",tt0367652
Derailed,2005,6.6,"76,725","Crime, Drama, Thriller","$36,024,076",tt0398017
Empire of the Wolves,2005,5.8,"12,203","Action, Crime, Drama",N/A,tt0402158
BloodRayne,2005,3.0,"37,301","Action, Fantasy, Horror","$2,405,420",tt0383222
Lords of Dogtown,2005,7.1,"58,468","Biography, Drama, Sport","$11,273,517",tt0355702
The Greatest Game Ever Played,2005,7.4,"33,809","Biography, Drama, Sport","$15,337,393",tt0388980
Ice Princess,2005,6.0,"29,057","Comedy, Drama, Family","$24,402,491",tt0396652
Beauty Shop,2005,5.6,"18,772",Comedy,"$36,351,350",tt0388500
The Sisterhood of the Traveling Pants,2005,6.5,"65,340","Comedy, Drama, Romance","$39,053,061",tt0403508
The Constant Gardener,2005,7.3,"149,021","Drama, Mystery, Romance","$33,579,797",tt0387131
Nanny McPhee,2005,6.6,"85,918","Comedy, Family, Fantasy","$47,144,110",tt0396752
Hide and Seek,2005,5.9,"89,296","Horror, Mystery","$51,100,486",tt0382077
Red Eye,2005,6.5,"144,922",Thriller,"$57,891,803",tt0421239
The 40-Year-Old Virgin,2005,7.1,"471,502","Comedy, Romance","$109,449,237",tt0405422
Pride & Prejudice,2005,7.8,"333,152","Drama, Romance","$38,405,088",tt0414387
Walk the Line,2005,7.8,"267,062","Biography, Drama, Music","$119,519,402",tt0358273
The Jacket,2005,7.1,"119,641","Drama, Fantasy, Mystery","$6,303,762",tt0366627
Dominion: Prequel to the Exorcist,2005,5.1,"13,747","Drama, Horror, Thriller","$251,495",tt0449086
The Cave,2005,5.1,"41,677","Adventure, Horror, Sci-Fi","$15,007,991",tt0402901
An Unfinished Life,2005,7.0,"34,090","Drama, Family, Romance","$8,586,392",tt0350261
Dark Water,2005,5.6,"65,651","Drama, Horror, Mystery","$25,473,352",tt0382628
Goal! The Dream Begins,2005,6.7,"66,162","Drama, Romance, Sport","$4,283,255",tt0380389
The New World,2005,6.7,"90,264","Biography, Drama, History","$12,712,093",tt0402399
Bad News Bears,2005,5.8,"22,880","Comedy, Sport","$32,868,349",tt0408524
Assault on Precinct 13,2005,6.3,"82,100","Action, Crime, Drama","$20,040,895",tt0398712
A Lot Like Love,2005,6.6,"71,313","Comedy, Drama, Romance","$21,845,719",tt0391304
Fever Pitch,2005,6.2,"47,915","Comedy, Drama, Romance","$42,071,069",tt0332047
Must Love Dogs,2005,5.9,"33,168","Comedy, Romance","$43,894,863",tt0417001
