IMDB ID,Title,Budget,Revenue,Year
tt2554274,Crimson Peak,"$55,000,000.00","$74,679,822.00",2015
tt3829170,Dragonheart 3: The Sorcerer's Curse,$0.00,$0.00,2015
tt2637294,Hot Tub Time Machine 2,"$14,000,000.00","$12,314,651.00",2015
tt2231646,M.O.Ž.,$0.00,$0.00,2015
tt2123170,The Coven,$0.00,$0.00,2015
tt2933474,Superfast!,"$20,000,000.00",$0.00,2015
tt3265462,한공주,$0.00,$0.00,2015
tt2381941,Focus,"$50,100,000.00","$153,962,963.00",2015
tt1707380,Every Thing Will Be Fine,$0.00,"$8,034.00",2015
tt2279373,The SpongeBob Movie: Sponge Out of Water,"$74,000,000.00","$311,594,032.00",2015
tt1841642,Demonic,"$3,000,000.00","$3,387,000.00",2015
tt2555736,The Second Best Exotic Marigold Hotel,"$10,000,000.00","$85,978,266.00",2015
tt2401097,Tracers,"$11,000,000.00","$593,683.00",2015
tt2097298,"McFarland, USA",$0.00,"$45,710,059.00",2015
tt2909116,狼图腾,"$38,000,000.00","$123,205,624.00",2015
tt2918436,The Lazarus Effect,"$3,300,000.00","$64,110,728.00",2015
tt2358925,Unfinished Business,"$35,000,000.00","$14,431,253.00",2015
tt3233418,Spare Parts,$0.00,$0.00,2015
tt4397346,Bikes vs Cars,$90.00,$0.00,2015
tt4189260,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,$0.00,$0.00,2015
tt1850418,To Write Love on Her Arms,"$3,400,000.00",$0.00,2015
tt2199571,Run All Night,"$50,000,000.00","$71,561,644.00",2015
tt3042626,Asthma,$0.00,$0.00,2015
tt3030354,Assassin,$0.00,$0.00,2015
tt1991031,Digging Up the Marrow,$0.00,$0.00,2015
tt3785740,Kingdom of Shadows,$0.00,$0.00,2015
tt3110770,Road Hard,"$1,500,000.00",$0.00,2015
tt1661199,Cinderella,"$95,000,000.00","$543,514,353.00",2015
tt4007502,Frozen Fever,$0.00,$0.00,2015
tt2917388,Kidnapping Mr. Heineken,$0.00,"$2,633,527.00",2015
tt4377918,Crazy Beautiful You,$0.00,$0.00,2015
tt4406298,That Gal...Who Was in That Thing: That Guy 2,$0.00,$0.00,2015
tt3570168,Dyke Hard,"$30,000.00",$0.00,2015
tt3720382,Toiset tytöt,$0.00,$0.00,2015
tt4058426,India's Daughter,$0.00,$0.00,2015
tt1029360,Poltergeist,"$35,000,000.00","$95,437,994.00",2015
tt3332064,Pan,"$150,000,000.00","$128,388,320.00",2015
tt1791682,While We're Young,"$10,000,000.00","$7,587,485.00",2015
tt2443822,The Boy,$0.00,$0.00,2015
tt4365412,Filip & Fredrik presenterar Trevligt folk,$0.00,$0.00,2015
tt2122313,Cirkeln,$0.00,$0.00,2015
tt2908446,Insurgent,"$110,000,000.00","$295,238,201.00",2015
tt3495030,Dum Laga Ke Haisha,$0.00,$0.00,2015
tt2224026,Home,"$135,000,000.00","$368,871,007.00",2015
tt2515034,The Gunman,"$40,000,000.00","$13,644,292.00",2015
tt3848892,Baby,$0.00,$0.00,2015
tt2820852,Furious 7,"$190,000,000.00","$1,506,249,360.00",2015
tt3713166,Unfriended,"$1,000,000.00","$62,882,090.00",2015
tt2944198,Backcountry,$0.00,$0.00,2015
tt2207484,Muck,$0.00,$0.00,2015
tt3520418,We Are Still Here,$0.00,$0.00,2015
tt2118624,The Final Girls,$0.00,$0.00,2015
tt4475970,Power/Rangers,$0.00,$0.00,2015
tt1014763,Child 44,"$50,000,000.00","$3,324,330.00",2015
tt2561572,Get Hard,"$40,000,000.00","$111,811,453.00",2015
tt4530184,Aziz Ansari: Live at Madison Square Garden,$0.00,$0.00,2015
tt3496372,The Intruders,$0.00,$0.00,2015
tt3061534,Mara und der Feuerbringer,$0.00,$0.00,2015
tt3479316,Parallels,$0.00,$0.00,2015
tt3816458,Dead Rising,$0.00,$0.00,2015
tt2393845,Kill Me Three Times,$0.00,$0.00,2015
tt2016335,Walter,"$700,000.00",$0.00,2015
tt3280916,The Atticus Institute,$0.00,$0.00,2015
tt2523756,Lily & Kat,$0.00,$0.00,2015
tt2872750,Shaun the Sheep Movie,$0.00,"$59,700,000.00",2015
tt2493486,Last Knights,$0.00,"$3,643,591.00",2015
tt4299972,The Jinx: The Life and Deaths of Robert Durst,$0.00,$0.00,2015
tt4324274,Batman vs. Robin,$0.00,$0.00,2015
tt2404425,Woman in Gold,"$11,000,000.00","$61,619,773.00",2015
tt4073952,Iliza Shlesinger: Freezing Hot,$0.00,$0.00,2015
tt3609402,Killing Jesus,$0.00,$0.00,2015
tt1964418,Tomorrowland,"$190,000,000.00","$209,154,322.00",2015
tt3665860,Armi elää!,$0.00,$0.00,2015
tt3297330,Good Kill,$0.00,"$316,472.00",2015
tt2977090,Alex of Venice,$0.00,$0.00,2015
tt3344922,Hungry Hearts,$0.00,"$6,921.00",2015
tt2194826,The Barber,$0.00,$0.00,2015
tt4338148,PMMP - Tässä elämä on,$0.00,$0.00,2015
tt2656588,Buzzard,$0.00,"$13,684.00",2015
tt3450650,Paul Blart: Mall Cop 2,"$38,000,000.00","$107,597,242.00",2015
tt1867091,The Reconstruction of William Zero,$0.00,$0.00,2015
tt4322280,"It's Me, Hilary: The Man Who Drew Eloise",$0.00,$0.00,2015
tt3334794,About a Girl,$0.00,$0.00,2015
tt3742284,NH10,$0.00,$0.00,2015
tt3528666,The Marine 4: Moving Target,"$1,950,000.00",$0.00,2015
tt2726560,The Longest Ride,"$34,000,000.00","$63,013,281.00",2015
tt2287170,Man from Reno,$0.00,$0.00,2015
tt4114478,Einstein,$0.00,$0.00,2015
tt3660770,Monkey Kingdom,$0.00,"$16,661,077.00",2015
tt4186548,Beck 30 - Sjukhusmorden,$0.00,$0.00,2015
tt1655441,The Age of Adaline,"$25,000,000.00","$65,663,276.00",2015
tt3458236,Lambert & Stamp,$0.00,$0.00,2015
tt3838978,Sinatra: All or Nothing at All,$0.00,$0.00,2015
tt1772288,Danny Collins,"$10,000,000.00","$10,835,752.00",2015
tt2523832,A Girl Like Her,$0.00,$0.00,2015
tt4270516,Grandma,"$600,000.00","$7,087,452.00",2015
tt4504452,Comedy Central Roast of Justin Bieber,$0.00,$0.00,2015
tt1837562,A Royal Night Out,$0.00,"$228,136.00",2015
tt3539664,Dior and I,$0.00,$0.00,2015
tt3499458,Walking with the Dead,$0.00,$0.00,2015
tt1861445,An Act of War,$0.00,$0.00,2015
tt4437640,Batman Unlimited: Animal Instincts,$0.00,$0.00,2015
tt3064298,Man Up,$0.00,$0.00,2015
tt2090629,The Culling,$0.00,$0.00,2015
tt3477752,Sweet Home,$0.00,$0.00,2015
tt2126355,San Andreas,"$110,000,000.00","$470,490,832.00",2015
tt3319920,Regression,$0.00,"$17,671,101.00",2015
tt3625152,The Man with the Iron Fists 2,$0.00,$0.00,2015
tt2935476,Far from the Madding Crowd,$0.00,"$30,229,977.00",2015
tt3077108,Appropriate Behavior,$0.00,$0.00,2015
tt4215332,Barbie in Princess Power,$0.00,$0.00,2015
tt2679042,Hitman: Agent 47,"$35,000,000.00","$81,967,450.00",2015
tt4312536,Ч/Б,$0.00,"$358,590.00",2015
tt3717068,Court,$0.00,$0.00,2015
tt3623726,Ricki and the Flash,"$18,000,000.00","$41,325,328.00",2015
tt3393198,Resistance,$0.00,$0.00,2015
tt3781762,1915,$0.00,$0.00,2015
tt4163668,The Eichmann Show,$0.00,$0.00,2015
tt3155242,Partisan,$0.00,$0.00,2015
tt3327624,Infini,$0.00,$0.00,2015
tt3767372,Piku,"$5,500,000.00","$22,159,216.00",2015
tt4234734,Babysitter's Black Book,$0.00,$0.00,2015
tt3398436,German Angst,$0.00,$0.00,2015
tt3672640,Luokkakokous,"$1,432,960.00",$0.00,2015
tt2848292,Pitch Perfect 2,"$29,000,000.00","$287,506,194.00",2015
tt4341806,El bosque de Karadima,$0.00,$0.00,2015
tt3704352,Bessie,$0.00,$0.00,2015
tt3042800,Nightingale,$0.00,$0.00,2015
tt2402927,Carol,"$11,800,000.00","$40,272,135.00",2015
tt4503900,Thought Crimes,$0.00,$0.00,2015
tt3205394,Roald Dahl's Esio Trot,$0.00,$0.00,2015
tt3488328,Pound of Flesh,"$7,500,000.00",$0.00,2015
tt2325977,Strangerland,"$10,000,000.00","$17,472.00",2015
tt2076346,Teacher of the Year,$0.00,$0.00,2015
tt4309834,Away and Back,$0.00,$0.00,2015
tt3464902,The Lobster,"$4,000,000.00","$15,656,193.00",2015
tt3881768,Beautiful & Twisted,$0.00,$0.00,2015
tt3499048,Güeros,$0.00,$0.00,2015
tt1881002,Maggie,"$4,000,000.00","$187,112.00",2015
tt2967224,Hot Pursuit,"$35,000,000.00","$51,680,201.00",2015
tt3205376,Slow West,$0.00,"$229,094.00",2015
tt1883367,The Human Centipede 3 (Final Sequence),$0.00,$0.00,2015
tt3696804,Just About Famous,$0.00,$0.00,2015
tt4239548,Deli Man,$0.00,$0.00,2015
tt3122764,Southern Rites,$0.00,$0.00,2015
tt1731701,Barely Lethal,$0.00,"$6,075.00",2015
tt3321300,Spooks: The Greater Good,$0.00,"$1,473,809.00",2015
tt2534634,Vehkleja,$0.00,$0.00,2015
tt3312868,Deep Web,$0.00,$0.00,2015
tt2633666,The Dramatics: A Comedy,$0.00,$0.00,2015
tt4657764,何以笙箫默,$0.00,$0.00,2015
tt2219650,Seymour: An Introduction,$0.00,$0.00,2015
tt4547120,San Andreas Quake,$0.00,$0.00,2015
tt3659388,The Martian,"$108,000,000.00","$630,161,890.00",2015
tt2948790,Return to Sender,$0.00,$0.00,2015
tt3472226,Kung Fury,"$630,019.00",$0.00,2015
tt3447364,Detective Byomkesh Bakshy!,$0.00,$0.00,2015
tt3678782,बदलापुर,"$3,700,000.00","$11,480,000.00",2015
tt3312830,Youth,"$13,360,000.00","$2,000,000.00",2015
tt3247714,Survivor,"$20,000,000.00",$0.00,2015
tt4382552,Hot Girls Wanted,$0.00,$0.00,2015
tt4137596,A Gift of Miracles,$0.00,$0.00,2015
tt3796936,Curse of the Witching Tree,$0.00,$0.00,2015
tt3079380,Spy,"$65,000,000.00","$235,666,219.00",2015
tt3152624,Trainwreck,"$35,000,000.00","$140,795,793.00",2015
tt3916378,Ma che bella sorpresa,$0.00,$0.00,2015
tt1243974,Aloha,"$37,000,000.00","$26,250,020.00",2015
tt3908634,With This Ring,$0.00,$0.00,2015
tt3132632,Misery Loves Comedy,$0.00,$0.00,2015
tt4627104,Flight World War II,$0.00,$0.00,2015
tt4359416,تاکسی,$0.00,$0.00,2015
tt3672840,天將雄師,"$65,000,000.00","$121,545,703.00",2015
tt1674771,Entourage,"$30,000,000.00","$49,263,404.00",2015
tt3573598,London Road,$0.00,$0.00,2015
tt4393514,Bitter Lake,$0.00,$0.00,2015
tt4075520,Ventoux,$0.00,$0.00,2015
tt3133722,No Way Jose,$0.00,$0.00,2015
tt2096673,Inside Out,"$175,000,000.00","$857,611,174.00",2015
tt2420166,The World Made Straight,$0.00,$0.00,2015
tt2415458,The Wolfpack,$0.00,"$1,301,696.00",2015
tt1015471,The Sisterhood of Night,$0.00,$0.00,2015
tt3253624,Soaked in Bleach,$0.00,$0.00,2015
tt0903657,Love & Mercy,$0.00,"$28,641,776.00",2015
tt1951266,The Hunger Games: Mockingjay - Part 2,"$160,000,000.00","$653,428,261.00",2015
tt3369806,Max,"$20,000,000.00","$43,967,255.00",2015
tt2120120,Pixels,"$88,000,000.00","$243,637,091.00",2015
tt1421361,Dawg Fight,$0.00,$0.00,2015
tt3481000,Chocolate City,$0.00,$0.00,2015
tt3483612,Hamari Adhuri Kahani,$0.00,$0.00,2015
tt3111626,The Sky Above Us,$0.00,$0.00,2015
tt3168230,Mr. Holmes,$0.00,"$29,355,203.00",2015
tt3295482,Frankenstein vs. The Mummy,$0.00,$0.00,2015
tt3205630,Senior Project,$0.00,$0.00,2015
tt4323536,The Emperor's New Clothes,$0.00,$0.00,2015
tt3973410,Kaaka Muttai,$0.00,$0.00,2015
tt2424988,Gabbar Is Back,"$11,000,000.00","$41,000,000.00",2015
tt1810683,Little Boy,"$20,000,000.00","$6,485,961.00",2015
tt4056738,Do You Believe?,$0.00,$0.00,2015
tt4573800,A Deadly Adoption,$0.00,$0.00,2015
tt2140379,Self/less,"$26,000,000.00","$30,523,226.00",2015
tt1618442,The Last Witch Hunter,"$90,000,000.00","$146,936,910.00",2015
tt3850590,Krampus,"$15,000,000.00","$61,548,707.00",2015
tt2124787,Final Girl,$0.00,$0.00,2015
tt4703660,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),$0.00,$0.00,2015
tt3733678,Grace Stirs Up Success,$0.00,$0.00,2015
tt3547900,The Mirror,$0.00,$0.00,2015
tt2637276,Ted 2,"$68,000,000.00","$217,022,588.00",2015
tt1727770,Absolutely Anything,$0.00,"$7,200,039.00",2015
tt2293640,Minions,"$74,000,000.00","$1,156,730,962.00",2015
tt1979388,The Good Dinosaur,"$175,000,000.00","$331,926,147.00",2015
tt1355683,Black Mass,"$53,000,000.00","$98,837,872.00",2015
tt2379713,Spectre,"$245,000,000.00","$880,674,609.00",2015
tt3742378,Que Horas Ela Volta?,$0.00,$0.00,2015
tt4296026,Avengers Grimm,$0.00,$0.00,2015
tt3899796,Sharknado 3: Oh Hell No!,$0.00,$0.00,2015
tt3086386,The Scorpion King: Quest for Power,$0.00,$0.00,2015
tt4215766,Scooby-Doo! Moon Monster Madness,$0.00,$0.00,2015
tt2948202,The Flintstones & WWE: Stone Age Smackdown,$0.00,$0.00,2015
tt4319698,五個孩子的校長,$0.00,$0.00,2015
tt4086116,The Amityville Playhouse,$0.00,$0.00,2015
tt2080374,Steve Jobs,"$30,000,000.00","$34,441,873.00",2015
tt2884018,Macbeth,"$15,000,000.00","$12,601,706.00",2015
tt1524930,Vacation,"$31,000,000.00","$104,384,188.00",2015
tt3727824,The Ouija Experiment 2: Theatre of Death,$0.00,$0.00,2015
tt4693418,Back to the Jurassic,$0.00,$0.00,2015
tt2334733,Madame Bovary,$0.00,$0.00,2015
tt4145324,Bound,$0.00,$0.00,2015
tt3130734,Phantom Halo,$0.00,$0.00,2015
tt2893490,Manglehorn,"$4,000,000.00","$143,101.00",2015
tt2547172,Larry Gaye: Renegade Male Flight Attendant,$0.00,$0.00,2015
tt2828884,Hoovey,$2.00,$0.00,2015
tt4442130,Wild Horses,$0.00,$0.00,2015
tt3564200,Tooken,$0.00,$0.00,2015
tt2784134,Battle For SkyArk,$0.00,$0.00,2015
tt3717016,After the Ball,$0.00,"$161,820.00",2015
tt3103412,Private Number,$0.00,$0.00,2015
tt3094236,Helicopter Mom,$0.00,$0.00,2015
tt3084028,See You In Valhalla,$0.00,$0.00,2015
tt3503840,Absolution,$0.00,$0.00,2015
tt4026600,The Four Warriors,$0.00,$0.00,2015
tt3593666,Dial a Prayer,$0.00,$0.00,2015
tt3133246,The Last Time You Had Fun,$0.00,$0.00,2015
tt1322393,Faith of Our Fathers,$0.00,$0.00,2015
tt1698652,Champs,$0.00,$0.00,2015
tt1887746,Fishing Naked,$0.00,$0.00,2015
tt3248600,The Squeeze,$0.00,$0.00,2015
tt2375844,Fractured,$0.00,$0.00,2015
tt1629242,Careful What You Wish For,"$8,000,000.00",$0.00,2015
tt3266948,Any Day,$0.00,$0.00,2015
tt2123884,3 Nights in the Desert,$0.00,$0.00,2015
tt2145829,Robot Overlords,"$21,000,000.00",$0.00,2015
tt4257950,Russell Madness,$0.00,$0.00,2015
tt3518096,The Millennials,$0.00,$0.00,2015
tt3525346,Bad Asses on the Bayou,"$5,300,000.00",$0.00,2015
tt1321869,The Lovers,"$27,000,000.00",$0.00,2015
tt3746298,Vendetta,$0.00,$0.00,2015
tt3220528,Age Of Kill,$0.00,$0.00,2015
tt3465074,88,$0.00,$0.00,2015
tt3661196,The Wrong Girl,$0.00,$0.00,2015
tt4340888,Perfect High,$0.00,$0.00,2015
tt4135218,Cyberbully,$0.00,$0.00,2015
tt3687186,Heaven Knows What,$0.00,$0.00,2015
tt2870648,Amy,$0.00,"$8,413,144.00",2015
tt4692656,Tom and Jerry Spy Quest,$0.00,$0.00,2015
tt3300572,Stung,"$2,500,000.00",$0.00,2015
tt2268016,Magic Mike XXL,"$14,800,000.00","$122,513,057.00",2015
tt4741170,Babai,"$2,137,000.00",$0.00,2015
tt3902698,Rey gitano,$0.00,$0.00,2015
tt3819668,ドラゴンボールZ 復活の「F」,"$5,000,000.00","$61,768,190.00",2015
tt4274822,Stonemouth,$0.00,$0.00,2015
tt1137470,Accidental Love,"$26,000,000.00",$0.00,2015
tt2979920,बॉम्बे वेलवेट,"$18,000,000.00","$1,500,000.00",2015
tt4056808,大同,$0.00,$0.00,2015
tt1638355,The Man from U.N.C.L.E.,"$75,000,000.00","$108,145,109.00",2015
tt3470838,The Widowmaker,$0.00,$0.00,2015
tt4324302,Justice League: Gods and Monsters,$0.00,$0.00,2015
tt2505376,All Eyes And Ears,$0.00,$0.00,2015
tt2140423,Sorrow,$0.00,$0.00,2015
tt3799088,The Livingston Gardener,$0.00,$0.00,2015
tt3895884,7 Days in Hell,$0.00,$0.00,2015
tt3094252,Echoes Of War,$0.00,$0.00,2015
tt3488710,The Walk,"$35,000,000.00","$61,181,942.00",2015
tt3137764,Staten Island Summer,$0.00,$0.00,2015
tt3121332,Nasty Baby,$0.00,$0.00,2015
tt4437046,Bad Night,$0.00,$0.00,2015
tt4497416,Lake Placid vs. Anaconda,$0.00,$0.00,2015
tt2309260,The Gallows,"$100,000.00","$42,664,410.00",2015
tt3569374,The Midnight Swim,$0.00,$0.00,2015
tt2782868,Eadweard,$0.00,$0.00,2015
tt4598848,Dennis Rodman's Big Bang in PyongYang,$0.00,$0.00,2015
tt4126340,Joe Dirt 2: Beautiful Loser,$0.00,$0.00,2015
tt2753778,"The Death of ""Superman Lives"": What Happened?",$0.00,$0.00,2015
tt4717798,Scooby-Doo! And Kiss: Rock and Roll Mystery,$0.00,$0.00,2015
tt4296254,Wuthering High,$0.00,$0.00,2015
tt4048050,Trois souvenirs de ma jeunesse,$0.00,"$269,144.00",2015
