Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID,Budget,Revenue
Rang De Basanti,2006,8.1,"122,723","Comedy, Crime, Drama","$2,197,694",tt0405508,"$2,200,000.00 ","$11,502,151.00 "
This Is England,2006,7.7,"129,178","Crime, Drama","$329,379",tt0480025,"$2,380,000.00 ","$8,176,544.00 "
Local Color,2006,6.8,"1,773",Drama,"$32,788",tt0472126,"$3,250,000.00 ","$32,788.00 "
Winter Passing,2005,6.2,"8,927","Comedy, Drama","$107,492",tt0380817,"$3,500,000.00 ","$113,783.00 "
Unknown,2006,6.4,"31,543","Crime, Drama, Mystery","$26,403",tt0450340,"$3,700,000.00 ","$3,338,228.00 "
Let's Go to Prison,2006,5.9,"26,571","Comedy, Crime","$4,630,045",tt0454987,"$4,000,000.00 ","$4,630,045.00 "
Bug,2006,6.1,"38,084","Drama, Horror, Thriller","$7,025,810",tt0470705,"$4,000,000.00 ","$8,059,140.00 "
The History Boys,2006,6.8,"21,545","Comedy, Drama, Romance","$2,706,659",tt0464049,"$4,000,000.00 ","$13,401,952.00 "
Scoop,2006,6.6,"87,832","Comedy, Crime, Fantasy","$10,525,717",tt0457513,"$4,000,000.00 ","$31,584,901.00 "
Day Watch,2006,6.4,"35,503","Action, Fantasy, Horror","$450,897",tt0409904,"$4,200,000.00 ","$38,862,717.00 "
Dobrinya and the Dragon,2006,7.0,"2,725","Animation, Adventure, Comedy",N/A,tt0465967,"$4,500,000.00 ","$3,468,423.00 "
Hood of Horror,2006,4.1,"3,153","Comedy, Horror","$25,900",tt0475298,"$5,000,000.00 ","$25,900.00 "
Trailer Park Boys: The Movie,2006,7.1,"13,622","Comedy, Crime","$3,860,678",tt0425601,"$5,000,000.00 ","$3,833,507.00 "
Mechenosets,2006,4.8,923,"Action, Romance, Sci-Fi",N/A,tt0477337,"$5,000,000.00 ","$3,919,731.00 "
Clerks II,2006,7.3,"141,138",Comedy,"$24,148,068",tt0424345,"$5,000,000.00 ","$26,888,376.00 "
Fanaa,2006,7.1,"35,217","Action, Drama, Romance","$2,105,352",tt0439662,"$5,300,000.00 ","$22,175,908.00 "
Crossover,2006,2.2,"9,418","Action, Sport","$7,009,668",tt0473024,"$5,800,000.00 ","$7,000,000.00 "
The Science of Sleep,2006,7.2,"70,983","Comedy, Drama, Fantasy","$4,670,644",tt0354899,"$6,000,000.00 ","$9,524,340.00 "
The Last King of Scotland,2006,7.6,"196,627","Biography, Drama, History","$17,606,684",tt0455590,"$6,000,000.00 ","$48,027,970.00 "
Madea's Family Reunion,2006,5.3,"12,072","Comedy, Drama, Romance","$63,318,000",tt0455612,"$6,000,000.00 ","$57,231,524.00 "
The Work and the Glory III: A House Divided,2006,6.2,490,"Drama, Western","$1,325,092",tt0460611,"$6,500,000.00 ","$1,325,092.00 "
Friends with Money,2006,5.8,"32,189","Comedy, Drama, Romance","$13,368,437",tt0436331,"$6,500,000.00 ","$13,368,437.00 "
The Wind that Shakes the Barley,2006,7.5,"55,034","Drama, War","$1,836,089",tt0460989,"$6,500,000.00 ","$22,889,018.00 "
Kabhi Alvida Naa Kehna,2006,6.0,"21,693","Drama, Romance","$3,275,444",tt0449999,"$7,400,000.00 ","$17,000,000.00 "
10th & Wolf,2006,6.3,"6,979","Crime, Drama, Thriller","$54,702",tt0360323,"$8,000,000.00 ","$143,451.00 "
Fido,2006,6.7,"30,236","Comedy, Drama, Horror","$304,533",tt0457572,"$8,000,000.00 ","$426,224.00 "
Bon Cop Bad Cop,2006,6.7,"13,199","Action, Comedy, Crime","$12,665,721",tt0479647,"$8,000,000.00 ","$12,671,300.00 "
Akeelah and the Bee,2006,7.4,"21,747","Drama, Family","$18,848,430",tt0437800,"$8,000,000.00 ","$18,948,425.00 "
Little Miss Sunshine,2006,7.8,"521,471","Comedy, Drama","$59,891,098",tt0449059,"$8,000,000.00 ","$100,523,181.00 "
A Scanner Darkly,2006,7.0,"117,810","Animation, Comedy, Crime","$5,501,616",tt0405296,"$8,700,000.00 ","$7,659,918.00 "
Black Christmas,2006,4.7,"30,762",Horror,"$16,273,581",tt0454082,"$9,000,000.00 ","$21,510,851.00 "
Stay Alive,2006,5.0,"34,167","Fantasy, Horror, Mystery","$23,086,480",tt0441796,"$9,000,000.00 ","$27,105,095.00 "
Rescue Dawn,2006,7.3,"111,213","Adventure, Biography, War","$5,490,423",tt0462504,"$10,000,000.00 ","$7,177,143.00 "
Saw III,2006,6.2,"214,143","Horror, Mystery, Thriller","$80,238,724",tt0489270,"$10,000,000.00 ","$163,876,815.00 "
Dhoom 2,2006,6.5,"30,148","Action, Crime, Thriller","$2,643,586",tt0441048,"$11,000,000.00 ","$46,396,427.00 "
Jackass Number Two,2006,7.0,"80,384","Documentary, Action, Comedy","$72,778,712",tt0493430,"$11,000,000.00 ","$72,778,712.00 "
The Host,2006,7.1,"133,450","Drama, Horror, Sci-Fi","$2,201,923",tt0468492,"$11,000,000.00 ","$88,489,643.00 "
Snow Cake,2006,7.4,"13,309","Drama, Romance","$26,651",tt0448124,"$12,000,000.00 ","$1,381,665.00 "
For Your Consideration,2006,6.3,"15,939",Comedy,"$5,549,923",tt0470765,"$12,000,000.00 ","$5,542,025.00 "
Running with Scissors,2006,6.1,"23,202","Comedy, Drama","$7,022,827",tt0439289,"$12,000,000.00 ","$6,754,898.00 "
The Namesake,2006,7.5,"21,861",Drama,"$13,569,248",tt0433416,"$12,000,000.00 ","$20,138,836.00 "
Aquamarine,2006,5.4,"45,391","Comedy, Family, Fantasy","$18,597,342",tt0429591,"$12,000,000.00 ","$23,006,849.00 "
Employee of the Month,2006,5.5,"50,495","Comedy, Romance","$28,444,855",tt0424993,"$12,000,000.00 ","$38,368,909.00 "
Crank,2006,6.9,"265,082","Action, Crime, Thriller","$27,838,408",tt0479884,"$12,000,000.00 ","$42,931,041.00 "
The Santa Clause 3: The Escape Clause,2006,4.8,"42,821","Adventure, Comedy, Family","$84,500,122",tt0452681,"$12,000,000.00 ","$84,500,122.00 "
Step Up,2006,6.5,"127,681","Crime, Drama, Music","$65,328,121",tt0462590,"$12,000,000.00 ","$114,194,847.00 "
Volver,2006,7.6,"107,856","Comedy, Drama","$12,899,867",tt0441909,"$12,899,867.00 ","$85,582,407.00 "
Infamous,2006,7.0,"18,278","Biography, Crime, Drama","$1,151,330",tt0420609,"$13,000,000.00 ","$1,151,330.00 "
Find Me Guilty,2006,7.0,"36,405","Biography, Comedy, Crime","$1,173,643",tt0419749,"$13,000,000.00 ","$2,636,637.00 "
"Paris, I Love You",2006,7.2,"74,669","Comedy, Drama, Romance","$4,899,278",tt0401711,"$13,000,000.00 ","$4,857,367.00 "
The Astronaut Farmer,2006,6.3,"23,331","Adventure, Drama, Sci-Fi","$11,003,643",tt0469263,"$13,000,000.00 ","$11,130,889.00 "
Days of Glory,2006,7.0,"15,189","Action, Drama, War","$320,700",tt0444182,"$14,500,000.00 ","$22,963,701.00 "
Black Snake Moan,2006,6.9,"66,716","Drama, Music","$9,396,870",tt0462200,"$15,000,000.00 ","$10,903,846.00 "
The Return,2005,4.7,"12,380","Horror, Mystery, Thriller","$7,749,851",tt0433442,"$15,000,000.00 ","$11,992,014.00 "
Flicka,2006,6.0,"8,550","Adventure, Drama, Family","$21,000,147",tt0434215,"$15,000,000.00 ","$21,000,000.00 "
Notes on a Scandal,2006,7.4,"84,970","Crime, Drama, Romance","$17,510,118",tt0465551,"$15,000,000.00 ","$49,469,904.00 "
When a Stranger Calls,2006,5.1,"48,875","Horror, Thriller","$47,860,214",tt0455857,"$15,000,000.00 ","$66,966,987.00 "
The Hills Have Eyes,2006,6.4,"184,191","Horror, Thriller","$41,778,863",tt0454841,"$15,000,000.00 ","$69,623,713.00 "
United 93,2006,7.6,"111,235","Action, Drama, History","$31,483,450",tt0475276,"$15,000,000.00 ","$76,286,096.00 "
The Queen,2006,7.3,"116,221","Biography, Drama","$56,441,711",tt0436697,"$15,000,000.00 ","$123,384,128.00 "
It's a Boy Girl Thing,2006,6.2,"42,949","Comedy, Fantasy, Romance",$848,tt0482527,"$15,500,000.00 ","$7,385,434.00 "
Fur: An Imaginary Portrait of Diane Arbus,2006,6.3,"16,389","Biography, Drama, Romance","$223,202",tt0422295,"$16,800,000.00 ","$2,281,089.00 "
Southland Tales,2006,5.3,"40,750","Comedy, Drama, Mystery","$275,380",tt0405336,"$17,000,000.00 ","$374,743.00 "
American Dreamz,2006,5.5,"25,265","Comedy, Music","$7,191,830",tt0465142,"$17,000,000.00 ","$7,314,027.00 "
Running Scared,2006,7.3,"103,958","Action, Crime, Drama","$6,855,137",tt0404390,"$17,000,000.00 ","$9,500,000.00 "
Smokin' Aces,2006,6.6,"152,556","Action, Comedy, Crime","$35,787,686",tt0475394,"$17,000,000.00 ","$57,103,895.00 "
Beerfest,2006,6.2,"71,573",Comedy,"$19,185,184",tt0486551,"$17,500,000.00 ","$19,179,969.00 "
Seraphim Falls,2006,6.6,"34,806","Action, Drama, Thriller","$418,296",tt0479537,"$18,000,000.00 ","$1,196,307.00 "
Renaissance,2006,6.6,"16,452","Animation, Action, Sci-Fi","$70,644",tt0386741,"$18,000,000.00 ","$1,831,348.00 "
John Tucker Must Die,2006,5.7,"88,722","Comedy, Romance","$41,011,711",tt0455967,"$18,000,000.00 ","$41,009,669.00 "
Borat,2006,7.4,"446,237",Comedy,"$128,505,958",tt0443453,"$18,000,000.00 ","$261,572,744.00 "
Letters from Iwo Jima,2006,7.8,"170,682","Action, Adventure, Drama","$13,756,082",tt0498380,"$19,000,000.00 ","$68,673,228.00 "
Pan's Labyrinth,2006,8.2,"705,755","Drama, Fantasy, War","$37,646,380",tt0457430,"$19,000,000.00 ","$83,258,226.00 "
One Night with the King,2006,6.0,"7,794","Biography, Drama, History","$13,395,961",tt0430431,"$20,000,000.00 ","$13,391,174.00 "
School for Scoundrels,2006,5.9,"30,737",Comedy,"$17,807,569",tt0462519,"$20,000,000.00 ","$17,807,569.00 "
ATL,2006,6.1,"12,338","Comedy, Crime, Drama","$21,170,563",tt0466856,"$20,000,000.00 ","$21,170,563.00 "
The Marine,2006,4.7,"36,018","Action, Comedy, Drama","$18,844,784",tt0419946,"$20,000,000.00 ","$22,165,608.00 "
Death Note,2006,7.5,"31,995","Crime, Drama, Fantasy",N/A,tt0758742,"$20,000,000.00 ","$27,793,200.00 "
She's the Man,2006,6.4,"176,981","Comedy, Romance, Sport","$33,741,133",tt0454945,"$20,000,000.00 ","$33,889,159.00 "
The Covenant,2006,5.2,"52,238","Adventure, Fantasy, Horror","$23,380,495",tt0475944,"$20,000,000.00 ","$37,597,471.00 "
The Grudge 2,2006,5.0,"51,623","Horror, Thriller","$39,143,839",tt0433386,"$20,000,000.00 ","$39,143,839.00 "
Man of the Year,2006,6.2,"35,361","Comedy, Drama, Romance","$37,327,390",tt0483726,"$20,000,000.00 ","$41,237,648.00 "
Date Movie,2006,2.8,"62,350","Comedy, Romance","$48,548,426",tt0466342,"$20,000,000.00 ","$48,548,426.00 "
DOA: Dead or Alive,2006,4.8,"46,401","Action, Adventure, Mystery","$480,813",tt0398913,"$21,000,000.00 ","$480,314.00 "
Black Book,2006,7.7,"80,792","Drama, Thriller, War","$4,398,532",tt0389557,"$21,000,000.00 ","$26,193,068.00 "
Tenacious D in the Pick of Destiny,2006,6.8,"115,657","Adventure, Comedy, Music","$8,334,575",tt0365830,"$22,000,000.00 ","$13,405,595.00 "
Tales from Earthsea,2006,6.3,"44,479","Animation, Adventure, Fantasy","$48,658",tt0495596,"$22,000,000.00 ","$68,000,000.00 "
Accepted,2006,6.4,"140,411",Comedy,"$36,323,505",tt0384793,"$23,000,000.00 ","$38,505,009.00 "
Captain Alatriste: The Spanish Musketeer,2006,6.1,"13,947","Adventure, Drama, History",N/A,tt0395119,"$24,000,000.00 ","$23,321,954.00 "
Rocky Balboa,2006,7.1,"232,536","Action, Drama, Sport","$70,270,943",tt0479143,"$24,000,000.00 ","$155,721,132.00 "
The Contract,2006,5.6,"26,140","Action, Crime, Drama",N/A,tt0445946,"$25,000,000.00 ","$5,549,200.00 "
The Hoax,2006,6.7,"17,220","Biography, Comedy, Drama","$7,164,995",tt0462338,"$25,000,000.00 ","$11,772,461.00 "
Catch and Release,2006,5.9,"28,686","Comedy, Drama, Romance","$15,539,051",tt0395495,"$25,000,000.00 ","$16,158,487.00 "
Final Destination 3,2006,5.8,"154,620","Horror, Thriller","$54,098,051",tt0414982,"$25,000,000.00 ","$117,719,158.00 "
The Omen,2006,5.5,"63,470","Drama, Fantasy, Horror","$54,607,383",tt0466909,"$25,000,000.00 ","$119,188,334.00 "
Babel,2006,7.5,"318,197",Drama,"$34,302,837",tt0449467,"$25,000,000.00 ","$135,330,182.00 "
Little Children,2006,7.5,"117,333","Drama, Romance","$5,463,019",tt0404203,"$26,000,000.00 ","$14,821,658.00 "
Annapolis,2006,5.8,"21,961","Drama, Romance, Sport","$17,127,992",tt0417433,"$26,000,000.00 ","$17,496,992.00 "
Lucky Number Slevin,2006,7.7,"326,614","Crime, Drama, Thriller","$22,495,466",tt0425210,"$27,000,000.00 ","$56,308,881.00 "
Just My Luck,2006,5.4,"61,949","Comedy, Fantasy, Romance","$17,326,650",tt0397078,"$28,000,000.00 ","$38,159,905.00 "
Idiocracy,2006,6.5,"185,605","Adventure, Comedy, Sci-Fi","$444,093",tt0387808,"$30,000,000.00 ","$495,303.00 "
Ultraviolet,2006,4.3,"84,312","Action, Sci-Fi","$18,535,812",tt0370032,"$30,000,000.00 ","$31,070,211.00 "
Take the Lead,2006,6.6,"26,719","Drama, Music","$34,742,066",tt0446046,"$30,000,000.00 ","$34,742,066.00 "
Miss Potter,2006,7.0,"32,210","Biography, Drama, Romance","$3,005,605",tt0482546,"$30,000,000.00 ","$35,078,241.00 "
Gridiron Gang,2006,7.1,"81,212","Biography, Crime, Drama","$38,432,823",tt0421206,"$30,000,000.00 ","$41,480,851.00 "
Stranger Than Fiction,2006,7.5,"237,040","Comedy, Drama, Fantasy","$40,660,952",tt0420223,"$30,000,000.00 ","$53,653,224.00 "
Tristan + Isolde,2006,6.8,"54,367","Action, Drama, Romance","$14,734,633",tt0375154,"$31,000,000.00 ","$28,000,000.00 "
The Good German,2006,6.0,"26,127","Drama, Mystery, Romance","$1,308,696",tt0452624,"$32,000,000.00 ","$5,914,908.00 "
Nacho Libre,2006,5.9,"94,601","Comedy, Family, Sport","$80,197,993",tt0457510,"$32,000,000.00 ","$80,197,993.00 "
Snakes on a Plane,2006,5.5,"145,010","Action, Adventure, Crime","$34,020,814",tt0417148,"$33,000,000.00 ","$62,022,014.00 "
Bandidas,2006,5.7,"37,405","Action, Comedy, Crime",N/A,tt0416496,"$35,000,000.00 ","$10,496,317.00 "
Zoom,2006,4.4,"22,929","Action, Adventure, Comedy","$11,989,328",tt0383060,"$35,000,000.00 ","$12,506,188.00 "
The Fountain,2006,7.2,"249,684","Drama, Mystery, Romance","$10,144,010",tt0414993,"$35,000,000.00 ","$15,304,890.00 "
A Good Year,2006,6.9,"101,783","Comedy, Drama, Romance","$7,459,300",tt0401445,"$35,000,000.00 ","$42,064,105.00 "
The Devil Wears Prada,2006,6.9,"475,923","Comedy, Drama","$124,740,460",tt0458352,"$35,000,000.00 ","$326,551,094.00 "
Freedomland,2006,5.2,"17,265","Crime, Drama, Mystery","$12,512,886",tt0349467,"$37,665,000.00 ","$14,655,628.00 "
Pulse,2006,4.7,"30,796","Horror, Sci-Fi, Thriller","$20,264,436",tt0454919,"$38,000,000.00 ","$29,907,685.00 "
Stormbreaker,2006,5.1,"25,692","Action, Adventure, Family","$677,646",tt0457495,"$40,000,000.00 ","$23,937,870.00 "
The Wicker Man,2006,3.8,"71,724","Horror, Mystery, Thriller","$23,649,127",tt0450345,"$40,000,000.00 ","$38,755,073.00 "
Marie Antoinette,2006,6.5,"122,856","Biography, Drama, History","$15,962,471",tt0422720,"$40,000,000.00 ","$60,474,340.00 "
The Illusionist,2006,7.5,"391,249","Drama, Fantasy, Mystery","$39,868,642",tt0443543,"$40,000,000.00 ","$86,915,017.00 "
The Prestige,2006,8.5,"1,451,983","Drama, Mystery, Sci-Fi","$53,089,891",tt0482571,"$40,000,000.00 ","$109,676,311.00 "
The Lake House,2006,6.8,"158,498","Drama, Fantasy, Romance","$52,330,111",tt0410297,"$40,000,000.00 ","$114,830,111.00 "
Apocalypto,2006,7.8,"333,383","Action, Adventure, Drama","$50,866,635",tt0472043,"$40,000,000.00 ","$120,175,290.00 "
Eight Below,2006,7.3,"68,668","Adventure, Drama, Family","$81,612,565",tt0397313,"$40,000,000.00 ","$120,455,994.00 "
Big Momma's House 2,2006,4.8,"46,767","Comedy, Crime","$70,165,972",tt0421729,"$40,000,000.00 ","$138,259,062.00 "
Last Holiday,2006,6.6,"36,441","Comedy, Drama, Romance","$38,399,961",tt0408985,"$45,000,000.00 ","$38,399,961.00 "
Firewall,2006,5.8,"59,747","Action, Crime, Thriller","$48,751,189",tt0408345,"$45,000,000.00 ","$82,800,000.00 "
Scary Movie 4,2006,5.1,"129,702",Comedy,"$90,710,620",tt0362120,"$45,000,000.00 ","$178,262,620.00 "
Inside Man,2006,7.6,"400,797","Crime, Drama, Mystery","$88,513,495",tt0454848,"$45,000,000.00 ","$184,376,254.00 "
Happily N'Ever After,2006,4.5,"11,186","Animation, Adventure, Comedy","$15,589,393",tt0308353,"$47,000,000.00 ","$38,085,778.00 "
Goya's Ghosts,2006,6.9,"31,778","Biography, Drama, History","$1,000,626",tt0455957,"$50,000,000.00 ","$9,448,082.00 "
The Black Dahlia,2006,5.6,"77,157","Crime, Drama, Mystery","$22,545,080",tt0387877,"$50,000,000.00 ","$49,111,202.00 "
The Ant Bully,2006,5.8,"42,012","Animation, Adventure, Comedy","$28,142,535",tt0429589,"$50,000,000.00 ","$55,181,129.00 "
The Shaggy Dog,2006,4.4,"20,244","Comedy, Family, Fantasy","$61,123,569",tt0393735,"$50,000,000.00 ","$61,112,916.00 "
Curious George,2006,6.5,"18,256","Animation, Adventure, Comedy","$58,360,760",tt0381971,"$50,000,000.00 ","$69,834,815.00 "
RV,2006,5.6,"64,010","Adventure, Comedy, Family","$71,726,025",tt0449089,"$50,000,000.00 ","$87,528,173.00 "
Silent Hill,2006,6.5,"245,341","Horror, Mystery","$46,982,632",tt0384537,"$50,000,000.00 ","$97,607,453.00 "
Underworld: Evolution,2006,6.7,"210,146","Action, Fantasy, Thriller","$62,318,875",tt0401855,"$50,000,000.00 ","$111,340,801.00 "
Failure to Launch,2006,5.6,"86,301","Comedy, Romance","$88,715,192",tt0427229,"$50,000,000.00 ","$128,406,887.00 "
Perfume: The Story of a Murderer,2006,7.5,"266,852","Crime, Drama, Fantasy","$2,223,293",tt0396171,"$50,000,000.00 ","$132,180,323.00 "
Barnyard,2006,5.6,"34,791","Animation, Adventure, Comedy","$72,637,803",tt0414853,"$51,000,000.00 ","$72,779,000.00 "
The Break-Up,2006,5.8,"139,405","Comedy, Drama, Romance","$118,703,275",tt0452594,"$52,000,000.00 ","$204,999,686.00 "
"You, Me and Dupree",2006,5.6,"84,393","Comedy, Romance","$75,628,110",tt0463034,"$54,000,000.00 ","$130,431,368.00 "
V for Vendetta,2005,8.1,"1,186,319","Action, Drama, Sci-Fi","$70,511,035",tt0434409,"$54,000,000.00 ","$132,511,035.00 "
All the King's Men,2006,6.1,"25,680","Drama, Thriller","$7,221,458",tt0405676,"$55,000,000.00 ","$9,450,897.00 "
16 Blocks,2006,6.6,"135,131","Action, Drama, Thriller","$36,895,141",tt0450232,"$55,000,000.00 ","$65,664,721.00 "
The Pursuit of Happyness,2006,8.0,"566,475","Biography, Drama","$163,566,459",tt0454921,"$55,000,000.00 ","$307,077,295.00 "
Flyboys,2006,6.5,"44,681","Action, Drama, History","$13,090,630",tt0454824,"$60,000,000.00 ","$17,800,000.00 "
The Sentinel,2006,6.1,"52,502","Action, Crime, Thriller","$36,280,697",tt0443632,"$60,000,000.00 ","$77,920,346.00 "
World Trade Center,2006,6.0,"88,080","Drama, History, Thriller","$70,278,893",tt0469641,"$63,000,000.00 ","$162,945,894.00 "
Little Man,2006,4.5,"60,214","Comedy, Crime","$58,645,052",tt0430304,"$64,000,000.00 ","$101,595,121.00 "
We Are Marshall,2006,7.0,"64,986","Drama, Sport","$43,545,364",tt0758794,"$65,000,000.00 ","$43,545,364.00 "
300,2006,7.6,"869,663","Action, Drama","$210,629,101",tt0416449,"$65,000,000.00 ","$422,610,419.00 "
Basic Instinct 2,2006,4.4,"41,757","Drama, Mystery, Thriller","$5,971,336",tt0430912,"$70,000,000.00 ","$38,629,478.00 "
The Guardian,2006,6.9,"98,613","Action, Adventure, Drama","$55,011,732",tt0406816,"$70,000,000.00 ","$55,011,732.00 "
Dreamgirls,2006,6.6,"77,540","Drama, Music, Musical","$103,365,956",tt0443489,"$70,000,000.00 ","$154,937,680.00 "
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,"201,279","Comedy, Sport","$148,213,377",tt0415306,"$72,500,000.00 ","$162,966,177.00 "
Lady in the Water,2006,5.5,"104,160","Drama, Fantasy, Mystery","$42,285,169",tt0452637,"$75,000,000.00 ","$42,285,169.00 "
Monster House,2006,6.7,"139,596","Animation, Comedy, Family","$73,661,010",tt0385880,"$75,000,000.00 ","$140,175,006.00 "
Deja Vu,2006,7.1,"328,745","Action, Crime, Sci-Fi","$64,038,616",tt0453467,"$75,000,000.00 ","$180,557,550.00 "
Children of Men,2006,7.9,"532,525","Action, Drama, Sci-Fi","$35,552,383",tt0206634,"$76,000,000.00 ","$69,959,751.00 "
The Wild,2006,5.2,"27,793","Animation, Adventure, Comedy","$37,384,046",tt0405469,"$80,000,000.00 ","$37,384,046.00 "
Over the Hedge,2006,6.7,"190,901","Animation, Adventure, Comedy","$155,019,340",tt0327084,"$80,000,000.00 ","$343,397,247.00 "
Ice Age: The Meltdown,2006,6.8,"299,002","Animation, Adventure, Comedy","$195,330,621",tt0438097,"$80,000,000.00 ","$660,940,780.00 "
Click,2006,6.4,"359,003","Comedy, Drama, Fantasy","$137,355,633",tt0389860,"$82,500,000.00 ","$237,681,299.00 "
The Good Shepherd,2006,6.7,"108,838","Drama, History, Thriller","$59,952,835",tt0343737,"$85,000,000.00 ","$59,908,565.00 "
Charlotte's Web,2006,6.3,"46,841","Adventure, Comedy, Family","$82,985,708",tt0413895,"$85,000,000.00 ","$144,000,000.00 "
The Fast and the Furious: Tokyo Drift,2006,6.0,"302,488","Action, Crime, Thriller","$62,514,415",tt0463985,"$85,000,000.00 ","$158,468,292.00 "
The Holiday,2006,6.9,"325,426","Comedy, Romance","$63,224,849",tt0457939,"$85,000,000.00 ","$194,168,700.00 "
Open Season,2006,6.1,"106,615","Animation, Adventure, Comedy","$85,105,259",tt0400717,"$85,000,000.00 ","$197,309,027.00 "
Arthur and the Invisibles,2006,6.0,"41,243","Animation, Adventure, Comedy","$15,132,763",tt0344854,"$86,000,000.00 ","$107,944,236.00 "
Flags of Our Fathers,2006,7.1,"129,672","Action, Adventure, Drama","$33,602,376",tt0418689,"$90,000,000.00 ","$65,900,249.00 "
The Departed,2006,8.5,"1,433,399","Crime, Drama, Thriller","$132,399,394",tt0407887,"$90,000,000.00 ","$289,847,354.00 "
Blood Diamond,2006,8.0,"588,623","Adventure, Drama, Thriller","$57,377,916",tt0450259,"$100,000,000.00 ","$170,877,916.00 "
Eragon,2006,5.1,"130,751","Action, Adventure, Family","$75,030,163",tt0449010,"$100,000,000.00 ","$249,288,105.00 "
Happy Feet,2006,6.4,"201,547","Animation, Adventure, Comedy","$198,000,317",tt0366548,"$100,000,000.00 ","$384,335,608.00 "
Night at the Museum,2006,6.5,"380,755","Adventure, Comedy, Family","$250,863,268",tt0477347,"$110,000,000.00 ","$574,480,841.00 "
Cars,2006,7.2,"475,805","Animation, Adventure, Comedy","$244,082,982",tt0317219,"$120,000,000.00 ","$461,983,149.00 "
The Da Vinci Code,2006,6.6,"460,822","Mystery, Thriller","$217,536,138",tt0382625,"$125,000,000.00 ","$767,820,459.00 "
Miami Vice,2006,6.1,"124,713","Action, Crime, Drama","$63,450,470",tt0430357,"$135,000,000.00 ","$163,794,509.00 "
Flushed Away,2006,6.6,"139,851","Animation, Action, Adventure","$64,665,672",tt0424095,"$149,000,000.00 ","$64,459,316.00 "
Mission: Impossible III,2006,6.9,"393,256","Action, Adventure, Thriller","$134,029,801",tt0317919,"$150,000,000.00 ","$397,850,012.00 "
Casino Royale,2006,8.0,"698,957","Action, Adventure, Thriller","$167,445,960",tt0381061,"$150,000,000.00 ","$599,045,960.00 "
Poseidon,2006,5.7,"110,804","Action, Adventure, Thriller","$60,674,817",tt0409182,"$160,000,000.00 ","$181,674,817.00 "
Pirates of the Caribbean: Dead Man's Chest,2006,7.4,"773,172","Action, Adventure, Fantasy","$423,315,812",tt0383574,"$200,000,000.00 ","$1,065,659,812.00 "
X-Men: The Last Stand,2006,6.6,"544,735","Action, Adventure, Sci-Fi","$234,362,462",tt0376994,"$210,000,000.00 ","$459,359,555.00 "
Superman Returns,2006,6.1,"291,969","Action, Adventure, Sci-Fi","$200,081,192",tt0348150,"$270,000,000.00 ","$391,081,192.00 "
Paranormal Activity,2007,6.3,"257,875","Horror, Mystery","$107,918,810",tt1179904,"$15,000.00 ","$193,355,800.00 "
The Signal,2007,6.0,"21,929","Horror, Sci-Fi, Thriller","$251,150",tt0780607,"$50,000.00 ","$249,905.00 "
Once,2007,7.8,"121,728","Drama, Music, Romance","$9,439,923",tt0907657,"$160,000.00 ","$20,710,513.00 "
Happy Days,2007,7.9,"6,202",Drama,N/A,tt1214961,"$440,141.00 ","$2,640,850.00 "
Boy Culture,2006,6.8,"5,960","Drama, Romance","$220,409",tt0433350,"$500,000.00 ","$220,151.00 "
The Tracey Fragments,2007,6.0,"7,669",Drama,"$32,645",tt0801526,"$700,000.00 ","$31,576.00 "
"4 Months, 3 Weeks and 2 Days",2007,7.9,"63,488",Drama,"$1,198,208",tt1032846,"$852,510.00 ","$1,185,783.00 "
Taxi to the Dark Side,2007,7.5,"16,851","Documentary, Crime, History","$274,661",tt0854678,"$1,000,000.00 ","$274,661.00 "
I'm Staying,2007,7.4,937,"Comedy, Drama, Fantasy",N/A,tt1046198,"$1,000,000.00 ","$404,785.00 "
Lieksa!,2007,5.5,779,"Comedy, Drama",N/A,tt0944114,"$1,400,000.00 ","$435,000.00 "
My Name Is Bruce,2007,6.1,"25,183","Comedy, Fantasy, Horror","$173,066",tt0489235,"$1,500,000.00 ","$173,066.00 "
REC,2007,7.4,"198,806","Horror, Mystery, Thriller",N/A,tt1038988,"$1,500,000.00 ","$30,448,000.00 "
No End in Sight,2007,8.2,"8,606","Documentary, War","$1,433,319",tt0912593,"$2,000,000.00 ","$1,431,623.00 "
Diary of the Dead,2007,5.5,"49,373","Fantasy, Horror, Sci-Fi","$958,961",tt0848557,"$2,000,000.00 ","$5,364,858.00 "
Waitress,2007,7.0,"48,996","Comedy, Drama, Romance","$19,074,800",tt0473308,"$2,000,000.00 ","$22,179,430.00 "
Jab We Met,2007,7.9,"59,317","Comedy, Drama, Romance",N/A,tt1093370,"$2,300,000.00 ","$4,600,000.00 "
Eye of the Dolphin,2006,5.6,"1,016","Comedy, Drama, Family","$72,210",tt0465407,"$2,500,000.00 ","$71,904.00 "
Gloss,2007,5.5,"1,126","Comedy, Drama",N/A,tt0907119,"$2,500,000.00 ","$4,684,165.00 "
Timecrimes,2007,7.1,"69,338","Horror, Mystery, Sci-Fi","$39,127",tt0480669,"$2,600,000.00 ","$553,198.00 "
Like Stars on Earth,2007,8.3,"207,890","Drama, Family","$1,223,869",tt0986264,"$2,600,000.00 ","$28,430,000.00 "
